device_cpu_model,device_total_ram,device_storage_type,timestamp,cpu_usage,memory_usage,disk_usage,total_power,temperature,network_usage,grid_intensity,num_processes,screen_brightness,gpu_usage
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:39,100.0,93.1,6.4,148.0319,,139.66,578.513239196551,269,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:41,86.0,92.8,6.4,127.70359999999998,,141.77,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:42,46.9,92.6,6.4,70.94805999999998,,141.79,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:43,9.1,88.9,6.4,15.977839999999997,,141.93,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:45,15.1,89.1,6.4,24.69204,,141.93,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:46,3.8,89.1,6.4,8.29122,,141.93,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:47,8.2,88.9,6.4,14.671579999999999,,141.93,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:49,17.9,88.7,6.4,28.744359999999997,,141.95,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:50,2.0,88.7,6.4,5.6671,,141.96,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:51,0.0,88.8,6.4,2.7672000000000003,,141.96,578.513239196551,265,20,
