device_cpu_model,device_total_ram,device_storage_type,timestamp,cpu_usage,memory_usage,disk_usage,total_power,temperature,network_usage,grid_intensity,num_processes,screen_brightness,gpu_usage
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:53,11.8,88.8,6.4,19.89372,,141.97,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:54,6.2,88.8,6.4,11.76588,,141.97,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:56,16.0,88.8,6.4,25.989599999999996,,141.98,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:57,32.7,89.2,6.4,50.23958,,142.0,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:38:58,17.3,88.7,6.4,27.87352,,142.01,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:00,4.1,88.7,6.4,8.715039999999998,,142.09,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:01,9.1,88.5,6.4,15.966239999999997,,142.09,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:03,14.0,88.4,6.4,23.075200000000002,,142.1,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:04,6.2,88.3,6.4,11.751379999999997,,142.1,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:05,16.7,88.5,6.4,26.996879999999997,,142.1,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:07,4.3,88.6,6.4,9.002419999999999,,142.12,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:08,18.9,88.5,6.4,30.189959999999996,,142.14,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:09,0.0,88.6,6.4,2.7613999999999996,,142.16,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:11,41.4,88.7,6.4,62.85225999999999,,142.18,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:12,0.0,88.8,6.4,2.7672000000000003,,142.21,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:13,12.2,88.9,6.4,20.477179999999997,,142.24,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:15,18.0,89.0,6.4,28.898199999999996,,142.26,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:16,0.0,88.9,6.4,2.7701000000000002,,142.26,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:18,10.9,89.0,6.4,18.59326,,142.26,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:19,24.5,88.9,6.4,38.32939999999999,,142.27,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:20,1.9,88.9,6.4,5.52776,,142.29,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:22,1.9,88.5,6.4,5.516159999999999,,142.3,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:23,16.7,88.5,6.4,26.996879999999997,,142.32,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:24,3.5,88.5,6.4,7.8384,,142.32,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:26,5.9,88.6,6.4,11.32466,,142.32,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:27,17.2,88.5,6.4,27.722579999999997,,142.35,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:28,2.0,88.5,6.4,5.6613,,142.36,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:30,3.9,88.5,6.4,8.41896,,142.38,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:31,29.4,88.4,6.4,45.426759999999994,,142.38,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:32,2.1,88.2,6.4,5.79774,,142.39,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:34,6.2,88.2,6.4,11.748479999999999,,142.4,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:35,1.7,88.2,6.4,5.21718,,142.4,578.513239196551,265,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:39:36,3.7,88.2,6.4,8.11998,,142.4,578.513239196551,265,20,
