device_cpu_model,device_total_ram,device_storage_type,timestamp,cpu_usage,memory_usage,disk_usage,total_power,temperature,network_usage,grid_intensity,num_processes,screen_brightness,gpu_usage
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:45:27,7.5,84.5,6.4,13.527999999999999,,148.72,563.3664357911805,269,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:45:29,3.8,84.7,6.4,8.163619999999998,,148.73,563.3664357911805,269,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:45:30,1.8,84.7,6.4,5.26082,,148.74,563.3664357911805,269,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:45:31,4.2,84.6,6.4,8.74128,,148.74,563.3664357911805,269,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:45:33,7.0,84.7,6.4,12.8081,,148.75,563.3664357911805,269,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:45:34,1.8,84.7,6.4,5.26082,,148.75,563.3664357911805,269,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:45:36,3.6,84.5,6.4,7.86754,,148.75,563.3664357911805,269,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:45:37,0.0,84.5,6.4,2.6425,,148.76,563.3664357911805,269,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:45:38,0.0,84.5,6.4,2.6425,,148.77,563.3664357911805,269,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:45:40,21.6,84.5,6.4,33.99274,,148.79,563.3664357911805,269,20,
