device_cpu_model,device_total_ram,device_storage_type,timestamp,cpu_usage,memory_usage,disk_usage,total_power,temperature,network_usage,grid_intensity,num_processes,screen_brightness,gpu_usage
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:43:12,14.3,86.2,6.4,23.446820000000002,,147.37,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:43:13,0.0,86.1,6.4,2.6889,,147.38,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:43:14,2.2,86.1,6.4,5.88198,,147.38,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:43:16,5.4,86.2,6.4,10.52936,,147.38,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:43:17,13.7,86.1,6.4,22.573079999999997,,147.4,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:43:18,0.0,86.1,6.4,2.6889,,147.41,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:43:20,11.8,86.1,6.4,19.81542,,147.41,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:43:21,2.2,86.2,6.4,5.884880000000001,,147.41,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:43:22,0.0,86.2,6.4,2.6918,,147.42,487.05589193885544,271,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:43:24,1.8,86.2,6.4,5.304320000000001,,147.42,487.05589193885544,271,20,
