device_cpu_model,device_total_ram,device_storage_type,timestamp,cpu_usage,memory_usage,disk_usage,total_power,temperature,network_usage,grid_intensity,num_processes,screen_brightness,gpu_usage
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:35,6.0,88.1,6.4,11.4553,,114.93,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:37,20.4,88.6,6.4,32.36995999999999,,114.95,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:38,3.8,88.6,6.4,8.27672,,114.95,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:40,16.7,88.6,6.4,26.999779999999994,,114.96,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:41,12.5,88.6,6.4,20.903899999999997,,114.96,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:42,2.1,88.7,6.4,5.81224,,114.96,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:44,8.2,88.5,6.4,14.659979999999997,,114.96,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:45,9.3,88.5,6.4,16.256520000000002,,114.97,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:46,20.7,88.5,6.4,32.802479999999996,,114.98,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:48,5.7,88.5,6.4,11.031479999999998,,114.98,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:49,21.4,88.5,6.4,33.818459999999995,,114.99,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:50,38.0,88.6,6.4,57.9146,,114.99,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:52,4.0,88.7,6.4,8.569899999999999,,114.99,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:53,32.1,88.9,6.4,49.36004,,115.0,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:55,13.7,89.0,6.4,22.657179999999997,,115.0,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:56,2.1,89.0,6.4,5.82094,,115.01,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:57,19.3,88.9,6.4,30.78212,,115.02,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:29:59,8.9,88.9,6.4,15.687560000000001,,115.04,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:30:00,0.0,89.0,6.4,2.773,,115.04,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:30:01,34.0,89.0,6.4,52.1206,,115.05,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:30:03,9.4,89.0,6.4,16.416159999999998,,115.07,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:30:04,16.0,89.0,6.4,25.995399999999997,,115.07,574.7789962144296,267,20,
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-02 23:30:06,1.9,89.1,6.4,5.53356,,115.08,574.7789962144296,267,20,
