device_cpu_model,device_total_ram,device_storage_type,mac_address,timestamp,cpu_usage,memory_usage,disk_usage,total_power,carbon emission,network_usage,grid_intensity,num_processes
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:01,31.0,87.0,7.1,47.7294,21.47823,321.85,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:02,27.1,87.1,7.1,42.07184,18.932328,321.85,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:03,3.7,87.2,7.1,8.111979999999999,3.650391,321.86,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:04,0.0,87.2,7.1,2.7418,1.23381,321.86,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:05,0.0,87.2,7.1,2.7418,1.23381,321.86,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:06,24.1,87.2,7.1,37.72054,16.974242999999998,321.86,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:08,17.0,87.1,7.1,27.4127,12.335715,321.87,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:09,9.3,87.1,7.1,16.23692,7.306614000000001,321.89,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:10,3.8,87.1,7.1,8.254219999999998,3.714398999999999,321.9,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:11,43.9,87.5,7.1,66.46695999999999,29.910131999999997,321.9,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:12,15.7,89.1,7.1,25.583879999999997,11.512745999999998,321.91,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:13,5.3,89.1,7.1,10.489319999999998,4.720193999999999,321.93,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:14,8.9,89.1,7.1,15.71436,7.071462,321.93,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:15,11.5,90.7,7.1,19.534399999999998,8.790479999999999,321.93,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:17,16.3,90.8,7.1,26.504019999999997,11.926808999999999,321.93,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:18,2.1,90.7,7.1,5.891240000000001,2.6510580000000004,321.95,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:19,42.3,90.8,7.1,64.24041999999999,28.908188999999997,321.95,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:20,25.9,90.8,7.1,40.43746,18.196857,321.96,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:21,11.5,91.0,7.1,19.5431,8.794395,321.97,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:22,5.8,90.7,7.1,11.261419999999998,5.067638999999999,321.97,450,288
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:23,35.7,91.5,7.1,54.68148,24.606666,321.99,450,291
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:24,35.4,92.1,7.1,54.26345999999999,24.418556999999993,322.01,450,293
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:26,24.5,92.2,7.1,38.446099999999994,17.300745,322.03,450,293
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,38:d5:7a:53:a5:5f,2025-04-12 01:37:27,16.7,92.0,7.1,27.119379999999996,12.203720999999998,322.04,450,293
